X,gene,within_across_fold_weighted_score,rank
105,H19,0.04040793,0.531531531531532
106,RPL23AP42,0.035888684,0.524774774774775
107,VIM,0.035888684,0.524774774774775
108,ASPM,0.03458862,0.513513513513513
109,KNL1,0.03458862,0.513513513513513
110,PTTG1,0.03458862,0.513513513513513
111,TOP2A,0.033944716,0.504504504504504
112,ENSG00000260342.2,0.033823156,0.5
113,IFITM1,0.029797979,0.495495495495495
114,AHNAK,0.02974224,0.490990990990991
115,C1QA,0.028047647,0.484234234234234
116,C1QC,0.028047647,0.484234234234234
117,ITGA6,0.02506092,0.475225225225225
118,KRT17,0.02506092,0.475225225225225
119,DUSP1,0.022229305,0.466216216216216
120,EGR1,0.022229305,0.466216216216216
121,NBL1,0.02131089,0.457207207207207
122,TGM2,0.02131089,0.457207207207207
123,CYTOR,0.020270753,0.439189189189189
124,IFI6,0.020270753,0.439189189189189
125,MIR4435-2HG,0.020270753,0.439189189189189
126,PDGFRB,0.020270753,0.439189189189189
127,WIF1,0.020270753,0.439189189189189
128,ZCCHC12,0.020270753,0.439189189189189
129,IGFBP7,0.016958093,0.423423423423423
130,TUBA1B,0.015588527,0.418918918918919
131,CCL4,0.014914371,0.385135135135135
132,CD52,0.014914371,0.385135135135135
133,CD69,0.014914371,0.385135135135135
134,CD7,0.014914371,0.385135135135135
135,CST7,0.014914371,0.385135135135135
136,CXCR4,0.014914371,0.385135135135135
137,DUSP2,0.014914371,0.385135135135135
138,GNLY,0.014914371,0.385135135135135
139,GZMA,0.014914371,0.385135135135135
140,HCST,0.014914371,0.385135135135135
141,NKG7,0.014914371,0.385135135135135
142,PTPRC,0.014914371,0.385135135135135
143,RAC2,0.014914371,0.385135135135135
144,XCL1,0.014914371,0.385135135135135
145,TM4SF1,0.014832603,0.351351351351351
146,HNRNPA1P7,0.013471745,0.344594594594595
147,RPL17-C18orf32,0.013471745,0.344594594594595
148,VCL,0.013362929,0.337837837837838
149,AIF1,0.013133276,0.324324324324324
150,C1QB,0.013133276,0.324324324324324
151,FCER1G,0.013133276,0.324324324324324
152,HLA-DPA1,0.013133276,0.324324324324324
153,MT2A,0.013133276,0.324324324324324
154,RPL36AP37,0.013000836,0.310810810810811
155,BHLHE40,0.012932271,0.286036036036036
156,ENSG00000112096.19,0.012932271,0.286036036036036
157,ENSG00000284341.1,0.012932271,0.286036036036036
158,ICAM1,0.012932271,0.286036036036036
159,LDLR,0.012932271,0.286036036036036
160,LINC-PINT,0.012932271,0.286036036036036
161,MIR23AHG,0.012932271,0.286036036036036
162,NFKBIZ,0.012932271,0.286036036036036
163,SQSTM1,0.012932271,0.286036036036036
164,TNFAIP3,0.012932271,0.286036036036036
165,CLDN3,0.011237854,0.259009009009009
166,CLDN4,0.011237854,0.259009009009009
167,BTG2,0.010543761,0.243243243243243
168,FOSB,0.010543761,0.243243243243243
169,IER2,0.010543761,0.243243243243243
170,KLF6,0.010543761,0.243243243243243
171,SOCS3,0.010543761,0.243243243243243
172,ACTG2,0.010225873,0.222972972972973
173,LBH,0.010225873,0.222972972972973
174,MYL12A,0.010225873,0.222972972972973
175,TPM2,0.010225873,0.222972972972973
176,APOE,0.009839985,0.20045045045045
177,CXCL14,0.009839985,0.20045045045045
178,HOPX,0.009839985,0.20045045045045
179,NOTCH3,0.009839985,0.20045045045045
180,PPIAP22,0.009839985,0.20045045045045
181,RPL9P7,0.009839985,0.20045045045045
182,ARHGAP11B,0.008807221,0.166666666666667
183,CDC20,0.008807221,0.166666666666667
184,CDKN3,0.008807221,0.166666666666667
185,CENPF,0.008807221,0.166666666666667
186,CKS2,0.008807221,0.166666666666667
187,KIF14,0.008807221,0.166666666666667
188,PIF1,0.008807221,0.166666666666667
189,TUBB4B,0.008807221,0.166666666666667
190,UBE2S,0.008807221,0.166666666666667
191,RGCC,0.008487089,0.144144144144144
192,FN1,0.008165137,0.137387387387387
193,ITGB1,0.008165137,0.137387387387387
194,ACTG1,0.008158374,0.128378378378378
195,MTATP6P1,0.008158374,0.128378378378378
196,ARL6IP1,0.008104357,0.112612612612613
197,GLIPR1,0.008104357,0.112612612612613
198,IGFBP6,0.008104357,0.112612612612613
199,RPL36A-HNRNPH2,0.008104357,0.112612612612613
200,S100A6,0.008104357,0.112612612612613
201,ADAMTS9,0.006781306,0.0720720720720721
202,DDX17,0.006781306,0.0720720720720721
203,DST,0.006781306,0.0720720720720721
204,H2AZ1,0.006781306,0.0720720720720721
205,HMGB1,0.006781306,0.0720720720720721
206,HMGB2,0.006781306,0.0720720720720721
207,KCNQ1OT1,0.006781306,0.0720720720720721
208,MACF1,0.006781306,0.0720720720720721
209,MCL1,0.006781306,0.0720720720720721
210,PTMA,0.006781306,0.0720720720720721
211,SLC5A3,0.006781306,0.0720720720720721
212,STMN1,0.006781306,0.0720720720720721
213,TUBB,0.006781306,0.0720720720720721
214,EEF1A1,0.00673222,0.0337837837837838
215,PAGE4,0.00673222,0.0337837837837838
216,SFRP1,0.00673222,0.0337837837837838
217,TMSB10,0.00673222,0.0337837837837838
218,ENSG00000273149.1,0.006705983,0.0135135135135135
219,H1-5,0.006705983,0.0135135135135135
220,H2AC12,0.006705983,0.0135135135135135
221,H3C10,0.006705983,0.0135135135135135
222,H3C3,0.006705983,0.0135135135135135
